id,text,category
966692,agua saborizada ccu cachantun sabor citrus durazno 500 cc unidad,
969159,"agua saborizada soprole next con gas biobalance sabor mandarina 1,5 l unidad",
969164,"agua saborizada soprole next con gas biobalance sabor sandia 1,5 l unidad",
966688,"agua saborizada ccu cachantun mas woman sabor frutos del bosque 1,5 l unidad",
966690,"agua saborizada ccu cachantun mas woman sabor ginder limon 1,5 l unidad",
966648,"agua saborizada ccu cachantun sabor citrus naranja 1,5 l 6 unidades",
966689,agua saborizada ccu cachantun mas woman sabor frutos del bosque 500 cc unidad,
966691,agua saborizada ccu cachantun mas woman sabor ginder limon 500 cc unidad,
1234582,agua saborizada eden 500 cc con sabor pack 12 unidades,
966694,agua saborizada ccu cachantun sabor citrus naranja 500 cc unidad,
966687,agua saborizada ccu cachantun mas sabor citrus 500 cc unidad,
969161,agua saborizada soprole next con gas biobalance sabor mango-naranja 500 cc unidad,
966693,"agua saborizada ccu cachantun sabor citrus naranja 1,5 l unidad",
1234594,"agua saborizada eden 500 cc sabores, con gas unidad",
969160,agua saborizada soprole next con gas biobalance sabor mandarina 500 cc unidad,
969165,agua saborizada soprole next con gas biobalance sabor sandia 500 cc unidad,
969146,agua saborizada soprole next con gas biobalance sabor mango-naranja 500 cc 6 unidades,
1022891,agua saborizada aldis mc life sin gas  500 cc unidad,
1033071,cecina ariztia vienesa de pollo caja de 6 kilos,
969418,cecina super pollo jamon pechuga de pollo peso 4 k,
1021307,cecina la preferida jamon pierna  caja 2 kg (10 unidades de 200 gr),
969450,"pollo super pollo pop corns bolsa de 2,5k caja 5 k",
1022914,pollo sadia nugget granel  2 x 3 kgrs,
969443,pollo super pollo nuggets  cajas de 5 k,
1021889,pollo sadia nuggets crocante  caja 3 kilos,
966310,pollo ariztia nugget granel 55 k,
1021888,pollo sadia nuggets tekitos caja 6 kilos,
1022948,pollo sadia trutro rebozado 3 k 2 unidades,
1021887,"pollo sadia rebozado de pollo steack caja 7,2 kilos",
1021891,pollo sadia supremitas rebozadas caja 6 kilos,
1021352,pollo - pechuga de pollo corte juliana x 1kg caja 20 k,
1021713,pollo ag nuggets granel 6 kilos,
1021885,pollo sadia pechuga rebozada premium    caja 6 kilos,
1022927,pollo sadia pechuga rebozada sadia 2 x 3 kg (50 un app) 2x3 kgrs,
1377441,"pollo - pechuga cocida grillada y congelada bolsa 2,5 kg caja 4 unidades 10 kg",
1106201,vacuno bilbao escalopas posta  negra  x  120  grs 1  kg,
1021074,vacuno - escalopa posta rosada 120 gr 20 k,
1106197,vacuno bilbao escalopas asiento x 150 gr 1 k,
1021073,vacuno - escalopa posta negra 20 k,
1022993,vacuno xima escalopa kaiser 120 gr,
1106202,vacuno bilbao escalopas posta  rosada congelada x  100  grs 1  kg,
968972,vacuno san mateo escalopa posta negra 90 grs,
1021726,vacuno ag lengua 1 kilo,
965501,vacuno - ubres 1 k,
968403,arroz miraflores grado 2  1 kg 10 unidades,
1022338,arroz tucapel grado 2 largo gran seleccion 1 kg 5 unidades,
969627,arroz tucapel grado 2 gran seleccion 1 k,
968401,arroz miraflores grado 1 grano largo 1 k,
968402,arroz miraflores grado 1 1 kg 10 unidades,
967883,arroz loncomilla grado 2 grano largo 1 kg 10 unidades,
1292796,arroz lo mejor del campo grano largo grado 1 1 k 5 unidades,
1026988,arroz banquete grado 1 premium 1 kg 10 unidades,
966341,arroz banquete grado 1 premium 1 kg 10 unidades,
1256645,arroz loncomilla grado 2 largo/angosto 1 kilo unidad,
1335189,arroz lo mejor del campo grano largo grado 2 1 k 10 unidades ,
969625,arroz tucapel grado 1 pregraneado 1 k,
969638,arroz tucapel grado 2 blue bonnet 1 kg 3 unidades,
966486,arroz campo lindo grado 1 pregraneado 1 k,
969628,arroz tucapel grado 2 largo gran seleccion 1 k,
1022824,arroz tucapel pregraneado grado 1 1kg 5 unidades,
966428,arroz bonanza grado 2 1 k,
1028422,arroz tucapel arroz grado 1 grano largo gran seleccion 1 kgs unidad,
1033765,arroz tucapel arroz tucapel grado 2 1 kilo  pack 1 ,
968850,arroz rizzo grado 2 asiatico grano largo 1 kg 10 unidades,
1021927,arroz aruba arroz aruba verde kg g 2 1 kg 10 unidades,
967905,arroz los chinos grado 2 1 kg 10 unidades,
969640,arroz tucapel grado 2 gran seleccion 500 gr 20 unidades,
969632,arroz tucapel grado 1 pregranedo 1 kg 10 unidades,
966340,arroz banquete grado 1 pregraneado 1 kg 10 unidades,
966035,arroz agroprodex grado 2 1 k,
1021926,arroz aruba grado 2 1 kg 10 unidades,
967820,arroz lo mejor del campo grado 2 grano largo 1 k,
1181833,arroz gran paladin 1 kilo unidad,
969635,arroz tucapel grado 2 gran seleccion 1 kg 10 unidades,
969631,arroz tucapel grado 2 gran seleccion laminado 1 kg 10 unidades,
969633,arroz tucapel grado 2 bonnet 1 kg 10 unidades,
968404,arroz miraflores grado 2 fino 1 kg 10 unidades,
1022097,arroz coliseo grado 2 1 kg 10 unidades,
966343,arroz banquete grado 2 premium 1 kg 10 unidades,
969629,arroz tucapel grado 1 granea 1 kg 10 unidades,
1022381,arroz acuenta grado 2 1 k,
1021140,arroz miraflores grado 1 grano largo 500 gr 10 unidades,
1021654,arroz  grado 1 malla de 10 unidades,
1021925,arroz aruba grado 1 pregraneado 1 kg 10 unidades,
967222,arroz don rafa grado 2 grano largo 1 kg 10 unidades,
967906,arroz los chinos grado 2 grano largo 1 kg 3 unidades,
1039154,arroz tucapel grado 1 integral 1 kilo 10 unidades,
1023065,arroz aruba grado 2 largo gran seleccion 1 k,
1023130,arroz tucapel grado 1 1 kg 10 unidades,
969637,arroz tucapel grado 1 gran seleccion 1 kg 20 unidades,
966487,arroz campo lindo grado 2 grano largo 1 k,
1023152,arroz tucapel grado 2 1 kg 10 unidades,
1023141,arroz tucapel grado 2 1 kg 10 unidades,
967907,arroz los chinos grado 2 grano largo 500 gr 20 unidades,
969630,arroz tucapel grado 1 integral  1 kg 10 unidades,
1022852,arroz aruba grado 2 largo gran seleccion 1 kg 10 unidades,
969626,arroz tucapel grado 2 extra fino 1 k,
1021924,arroz aruba grado 1 grano largo pregraneado 1 kg 10 unidades,
968409,arroz miraflores grado 2 500 gr 20 unidades,
1022337,arroz tucapel grado 2 1 kg x 5 unidades,
1022713,arroz rio grande grado 1 1 k,
967435,arroz granjas de la sierra grado 1 grano largo 1 kg caja 10 unidades,
1022672,arroz yen grado 2 25 unidades,
