id,text,category,conf,envase,marca,modelo,tp,medida bolsa (bolsa),medida lt (litro),medida tableta (tableta),medida un (unidad1),medida un2 (unidad2),light,medida gr (gramo),sabor,alvacio,marinado,tamaño
1171447,postre refrigerado indalimentos mousse de chocolate c/salsa frutilla 90g caja de 24 unidades,,0.4,,,,,,,,,,,,,,,
1022807,postre refrigerado indalimentos mousse de maracuya/frambuesa 24 x 140g,"Hielo,Helados Y Postres",1.0,,,,postre refrigerado,,,,,,,140.0,frambuesa; maracuya,,,
1171448,postre refrigerado indalimentos mousse de chocolate c/salsa frutilla 125g caja de 24 unidades,,0.4,,,,,,,,,,,,,,,
1301415,postre refrigerado indalimentos mousse de vainilla con salsa caramelo 90 g caja de 24 unidades,,0.8,,,,,,,,,,,,,,,
1163661,postre refrigerado indalimentos jalea de manzana 140g caja de 24 unidades,,0.8,,,,,,,,,,,,,,,
1301389,postre refrigerado indalimentos flan de vainilla con salsa caramelo 140 g caja de 24 unidades,"Hielo,Helados Y Postres",1.0,caja,,flan,postre refrigerado,,,,24.0,,,140.0,caramelo; vainilla,,,
1301472,postre refrigerado indalimentos jalea con fruta manzana 140 g caja de 24 unidades,,0.8,,,,,,,,,,,,,,,
1171455,postre refrigerado indalimentos mousse de manjar c/salsa frutilla 125g caja de 24 unidades,,0.6,,,,,,,,,,,,,,,
1171458,postre refrigerado indalimentos mousse de frutilla c/salsa frutilla 125g caja de 24 unidades,,0.6,,,,,,,,,,,,,,,
1171466,postre refrigerado indalimentos mousse de coco c/salsa chocolate 125g caja de 24 unidades,,0.4,,,,,,,,,,,,,,,
1022758,postre refrigerado indalimentos jalea limon con fruta 24 x 140g,"Hielo,Helados Y Postres",1.0,,,jalea,postre refrigerado,,,,,,,140.0,limon,,,
1301371,postre refrigerado indalimentos jalea de naranja 120 g caja de 24 unidades,,0.8,,,,,,,,,,,,,,,
1301372,postre refrigerado indalimentos jalea de guinda 120 g caja de 24 unidades,,0.8,,,,,,,,,,,,,,,
1171454,postre refrigerado indalimentos mousse de manjar c/salsa frutilla 90g caja de 24 unidades,,0.6,,,,,,,,,,,,,,,
1246962,postre refrigerado el vergel compota sabor pera con avena pote 113 grs 24 unidades,"Hielo,Helados Y Postres",1.0,pote,el vergel,,postre refrigerado,,,,24.0,,,113.0,,,,
1246965,postre refrigerado el vergel compota sabor durazno con avena pote 113 grs 24 unidades,"Hielo,Helados Y Postres",1.0,pote,el vergel,,postre refrigerado,,,,24.0,,,113.0,durazno,,,
1171464,postre refrigerado indalimentos mousse de coco c/salsa manjar 125g caja de 24 unidades,,0.6,,,,,,,,,,,,,,,
1171463,postre refrigerado indalimentos mousse de coco c/salsa manjar 90g caja de 24 unidades,,0.6,,,,,,,,,,,,,,,
1246950,postre refrigerado el vergel frutalista durazno trocitos 0% azucar 218 gramos 12 unidades,"Hielo,Helados Y Postres",1.0,,el vergel,,postre refrigerado,,,,12.0,,,218.0,durazno,,,
1301392,postre refrigerado indalimentos flan de chocolate con salsa caramelo 110 g caja de 24 unidades,,0.8,,,,,,,,,,,,,,,
1022806,postre refrigerado indalimentos mousse de maracuya/frambuesa 24 x 120g,"Hielo,Helados Y Postres",1.0,,,,postre refrigerado,,,,,,,120.0,frambuesa; maracuya,,,
1022825,postre refrigerado indalimentos tres leches/manjar 24 x 120g,,0.6,,,,,,,,,,,,,,,
1171467,postre refrigerado indalimentos mousse de frutilla c/salsa frambuesa 90g caja de 24 unidades,,0.6,,,,,,,,,,,,,,,
1022814,postre refrigerado indalimentos pie de limon 24 x 110g,,0.4,,,,,,,,,,,,,,,
1171473,postre refrigerado indalimentos mousse de coco c/salsa frutilla 90g caja de 24 unidades,,0.6,,,,,,,,,,,,,,,
1022794,postre refrigerado indalimentos manjar almendras/caramelo 24 x 120g,"Hielo,Helados Y Postres",1.0,,,,postre refrigerado,,,,,,,120.0,caramelo; manjar,,,
1022755,postre refrigerado indalimentos jalea limon con fruta 24 x 120g,"Hielo,Helados Y Postres",1.0,,,jalea,postre refrigerado,,,,,,,120.0,limon,,,
1022736,postre refrigerado indalimentos cheese cake/mora 24 x 130g,"Hielo,Helados Y Postres",1.0,,,,postre refrigerado,,,,,,,130.0,mora,,,
1171468,postre refrigerado indalimentos mousse de frutilla c/salsa frambuesa 125g caja de 24 unidades,,0.6,,,,,,,,,,,,,,,
1301391,postre refrigerado indalimentos flan de caramelo con salsa caramelo 140 g caja de 24 unidades,,0.8,,,,,,,,,,,,,,,
1301398,postre refrigerado indalimentos flan de chocolate con salsa caramelo 140 g caja de 24 unidades,,0.8,,,,,,,,,,,,,,,
1022813,postre refrigerado indalimentos mousse de manjar/manjar 24 x 125g,,0.6,,,,,,,,,,,,,,,
1342694,postre refrigerado dila macedonia 250 gr unidad,,0.6,,,,,,,,,,,,,,,
966943,huevo copita blanco primera bandeja 30 unidades,,0.6,,,,,,,,,,,,,,,
969867,huevo yemita color primera bandeja 30 unidades,,0.8,,,,,,,,,,,,,,,
969866,huevo yemita blanco primera bandeja 30 unidades,,0.6,,,,,,,,,,,,,,,
1022739,huevo agrovial color extra unidad,Salsas Y Condimentos,1.0,,,,,,,,,,,,,,,
967567,huevo holland extra color caja 180 unidades,,0.2,,,,,,,,,,,,,,,
966047,huevo agrovial blanco extra bandeja 30 unidades,,0.4,,,,,,,,,,,,,,,
966296,huevo arizona color primera bandeja 30 unidades,,0.8,,,,,,,,,,,,,,,
966399,huevo benzzi primera blanco bandeja 30 unidades,,0.6,,,,,,,,,,,,,,,
